name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Physics Building,0,33191001,,university,,,"POLYGON ((-91.7716813 37.9550307, -91.7723735 37.9550365, -91.7723742 37.9550025, -91.7725287 37.9550053, -91.7725289 37.9549148, -91.772492 37.9549147, -91.7724924 37.9548562, -91.7723744 37.9548562, -91.7723747 37.9547922, -91.7721889 37.9547921, -91.7721887 37.9548529, -91.7716819 37.9548529, -91.7716813 37.9550307))",POINT (-91.7721026 37.9549335),1530.3,16471.9
Curtis Laws-Wilson Library,1,33191620,,library,,,"POLYGON ((-91.77376580000001 37.9557703, -91.77380170000001 37.9557706, -91.77380700000001 37.9553835, -91.7737728 37.9553832, -91.77377319999999 37.9553527, -91.77352980000001 37.9553506, -91.7732805 37.9553485, -91.77328009999999 37.9553774, -91.7732462 37.9553771, -91.7732409 37.9557669, -91.7732738 37.9557671, -91.77327339999999 37.9557941, -91.7737655 37.9557983, -91.77376580000001 37.9557703))",POINT (-91.77352380000001 37.9555735),2398.8,25820.7
Schrenk Hall,2,33210420,,university,,,"POLYGON ((-91.7743737 37.9530115, -91.7743763 37.9526105, -91.7741226 37.9526061, -91.7741226 37.9528246, -91.77397689999999 37.9528254, -91.77397910000001 37.9526143, -91.77375120000001 37.9526094, -91.7737504 37.9531702, -91.7739756 37.9531724, -91.773976 37.9529339, -91.7741233 37.9529303, -91.7741213 37.9532354, -91.7743706 37.9532377, -91.77436830000001 37.9531286, -91.7745783 37.9531298, -91.7745778 37.9531021, -91.7746125 37.9531028, -91.774612 37.9530163, -91.7743737 37.9530115))",POINT (-91.77410930000001 37.9529196),3184.5,34277.6
Rolla Building,3,33210424,,university,,,"POLYGON ((-91.77421820000001 37.9536548, -91.7742188 37.9536098, -91.77427779999999 37.9536101, -91.77427849999999 37.9535052, -91.7742196 37.9535053, -91.7742197 37.9534595, -91.7740123 37.9534566, -91.77401759999999 37.9535115, -91.7740036 37.9535115, -91.7739606 37.9535114, -91.7739588 37.9536053, -91.7740134 37.9536053, -91.77401380000001 37.9536535, -91.77421820000001 37.9536548))",POINT (-91.7741195 37.9535565),502.0,5403.0
Fulton Hall,4,33210426,,university,,,"POLYGON ((-91.773253 37.9550847, -91.7732532 37.9550052, -91.77323579999999 37.9550051, -91.7732362 37.9548489, -91.7732535 37.954849, -91.7732537 37.9547684, -91.7730494 37.9547681, -91.7730494 37.9547422, -91.77287080000001 37.9547419, -91.7728707 37.9548062, -91.7728225 37.9548062, -91.77282200000001 37.9550429, -91.7728656 37.955043, -91.77286549999999 37.9551012, -91.7730432 37.9551014, -91.7730432 37.9550844, -91.773253 37.9550847))",POINT (-91.7730344 37.9549242),1341.8,14442.9
Humanities and Social Sciences,5,33210428,,university,,,"POLYGON ((-91.77454090000001 37.9554001, -91.77454299999999 37.955225, -91.7739364 37.9552205, -91.7739344 37.9553956, -91.77454090000001 37.9554001))",POINT (-91.7742387 37.9553103),1033.1,11120.5
Centennial Hall,6,33239960,,university,,,"POLYGON ((-91.7734012 37.9532484, -91.77340599999999 37.952903, -91.77288369999999 37.9528985, -91.77287889999999 37.9532439, -91.7734012 37.9532484))",POINT (-91.7731424 37.9530735),1762.8,18974.2
Parker Hall,7,111282981,,university,,,"POLYGON ((-91.7732615 37.9545455, -91.7730396 37.9545446, -91.77303910000001 37.9544987, -91.77297849999999 37.9544987, -91.77297830000001 37.9544847, -91.772836 37.954484, -91.7728388 37.9542955, -91.7729824 37.9542959, -91.7729824 37.954282, -91.77304220000001 37.9542822, -91.7730418 37.9542379, -91.7732647 37.9542383, -91.7732615 37.9545455))",POINT (-91.7730743 37.9543911),1056.2,11369.2
Harris Hall,8,139822007,,university,,,"POLYGON ((-91.7747031 37.9544375, -91.7745582 37.9544375, -91.7745529 37.9547547, -91.7746977 37.9547547, -91.7747031 37.9544375))",POINT (-91.77462800000001 37.9545961),447.0,4811.9
Toomey Hall,9,139822072,,university,,,"POLYGON ((-91.77443030000001 37.9549982, -91.77443100000001 37.9549051, -91.7744168 37.954905, -91.7744201 37.9546907, -91.7741642 37.9546944, -91.77416409999999 37.9545929, -91.77442019999999 37.9545318, -91.77442139999999 37.9544124, -91.7742391 37.9544114, -91.7742404 37.9541459, -91.7742618 37.9541458, -91.7742677 37.9537674, -91.773967 37.9537661, -91.7739669 37.9537421, -91.77377610000001 37.9537387, -91.7737631 37.9545084, -91.7738217 37.9545083, -91.7738169 37.9549937, -91.77443030000001 37.9549982))",POINT (-91.7740538 37.9543979),6249.0,67264.0
