poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
1,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,recycling,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,car_rental,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
6,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
7,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
10,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
11,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
12,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
13,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
14,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
19,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
20,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
25,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
26,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
27,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
28,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,social_facility,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
36,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
37,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,studio,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
42,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
44,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
