activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count
1,A1,-91.832995,38.000994999999996,"POLYGON ((-91.836 37.997989999999994,-91.836 38.004,-91.82999 38.004,-91.82999 37.997989999999994,-91.836 37.997989999999994))",POINT (-91.832995 38.000994999999996),0
2,A2,-91.826985,38.000994999999996,"POLYGON ((-91.82999 37.997989999999994,-91.82999 38.004,-91.82397999999999 38.004,-91.82397999999999 37.997989999999994,-91.82999 37.997989999999994))",POINT (-91.826985 38.000994999999996),0
3,A3,-91.82097499999999,38.000994999999996,"POLYGON ((-91.82397999999999 37.997989999999994,-91.82397999999999 38.004,-91.81796999999999 38.004,-91.81796999999999 37.997989999999994,-91.82397999999999 37.997989999999994))",POINT (-91.82097499999999 38.000994999999996),0
4,A4,-91.81496499999999,38.000994999999996,"POLYGON ((-91.81796999999999 37.997989999999994,-91.81796999999999 38.004,-91.81195999999998 38.004,-91.81195999999998 37.997989999999994,-91.81796999999999 37.997989999999994))",POINT (-91.81496499999999 38.000994999999996),0
5,A5,-91.80895499999998,38.000994999999996,"POLYGON ((-91.81195999999998 37.997989999999994,-91.81195999999998 38.004,-91.80594999999998 38.004,-91.80594999999998 37.997989999999994,-91.81195999999998 37.997989999999994))",POINT (-91.80895499999998 38.000994999999996),0
6,A6,-91.80294499999998,38.000994999999996,"POLYGON ((-91.80594999999998 37.997989999999994,-91.80594999999998 38.004,-91.79993999999998 38.004,-91.79993999999998 37.997989999999994,-91.80594999999998 37.997989999999994))",POINT (-91.80294499999998 38.000994999999996),0
7,A7,-91.79693499999998,38.000994999999996,"POLYGON ((-91.79993999999998 37.997989999999994,-91.79993999999998 38.004,-91.79392999999997 38.004,-91.79392999999997 37.997989999999994,-91.79993999999998 37.997989999999994))",POINT (-91.79693499999998 38.000994999999996),0
8,A8,-91.79092499999997,38.000994999999996,"POLYGON ((-91.79392999999997 37.997989999999994,-91.79392999999997 38.004,-91.78791999999997 38.004,-91.78791999999997 37.997989999999994,-91.79392999999997 37.997989999999994))",POINT (-91.79092499999997 38.000994999999996),0
9,A9,-91.78491499999997,38.000994999999996,"POLYGON ((-91.78791999999997 37.997989999999994,-91.78791999999997 38.004,-91.78190999999997 38.004,-91.78190999999997 37.997989999999994,-91.78791999999997 37.997989999999994))",POINT (-91.78491499999997 38.000994999999996),0
10,A10,-91.77890499999997,38.000994999999996,"POLYGON ((-91.78190999999997 37.997989999999994,-91.78190999999997 38.004,-91.77589999999996 38.004,-91.77589999999996 37.997989999999994,-91.78190999999997 37.997989999999994))",POINT (-91.77890499999997 38.000994999999996),0
11,A11,-91.77289499999996,38.000994999999996,"POLYGON ((-91.77589999999996 37.997989999999994,-91.77589999999996 38.004,-91.76988999999996 38.004,-91.76988999999996 37.997989999999994,-91.77589999999996 37.997989999999994))",POINT (-91.77289499999996 38.000994999999996),0
12,A12,-91.76688499999996,38.000994999999996,"POLYGON ((-91.76988999999996 37.997989999999994,-91.76988999999996 38.004,-91.76387999999996 38.004,-91.76387999999996 37.997989999999994,-91.76988999999996 37.997989999999994))",POINT (-91.76688499999996 38.000994999999996),0
13,A13,-91.76087499999996,38.000994999999996,"POLYGON ((-91.76387999999996 37.997989999999994,-91.76387999999996 38.004,-91.75786999999995 38.004,-91.75786999999995 37.997989999999994,-91.76387999999996 37.997989999999994))",POINT (-91.76087499999996 38.000994999999996),0
14,A14,-91.75486499999995,38.000994999999996,"POLYGON ((-91.75786999999995 37.997989999999994,-91.75786999999995 38.004,-91.75185999999995 38.004,-91.75185999999995 37.997989999999994,-91.75786999999995 37.997989999999994))",POINT (-91.75486499999995 38.000994999999996),0
15,A15,-91.74885499999995,38.000994999999996,"POLYGON ((-91.75185999999995 37.997989999999994,-91.75185999999995 38.004,-91.74584999999995 38.004,-91.74584999999995 37.997989999999994,-91.75185999999995 37.997989999999994))",POINT (-91.74885499999995 38.000994999999996),0
16,A16,-91.74284499999995,38.000994999999996,"POLYGON ((-91.74584999999995 37.997989999999994,-91.74584999999995 38.004,-91.73983999999994 38.004,-91.73983999999994 37.997989999999994,-91.74584999999995 37.997989999999994))",POINT (-91.74284499999995 38.000994999999996),0
17,A17,-91.73683499999994,38.000994999999996,"POLYGON ((-91.73983999999994 37.997989999999994,-91.73983999999994 38.004,-91.73382999999994 38.004,-91.73382999999994 37.997989999999994,-91.73983999999994 37.997989999999994))",POINT (-91.73683499999994 38.000994999999996),0
18,A18,-91.73082499999994,38.000994999999996,"POLYGON ((-91.73382999999994 37.997989999999994,-91.73382999999994 38.004,-91.72781999999994 38.004,-91.72781999999994 37.997989999999994,-91.73382999999994 37.997989999999994))",POINT (-91.73082499999994 38.000994999999996),0
19,A19,-91.72481499999994,38.000994999999996,"POLYGON ((-91.72781999999994 37.997989999999994,-91.72781999999994 38.004,-91.72180999999993 38.004,-91.72180999999993 37.997989999999994,-91.72781999999994 37.997989999999994))",POINT (-91.72481499999994 38.000994999999996),0
20,A20,-91.71880499999993,38.000994999999996,"POLYGON ((-91.72180999999993 37.997989999999994,-91.72180999999993 38.004,-91.71579999999993 38.004,-91.71579999999993 37.997989999999994,-91.72180999999993 37.997989999999994))",POINT (-91.71880499999993 38.000994999999996),0
21,A21,-91.71279499999993,38.000994999999996,"POLYGON ((-91.71579999999993 37.997989999999994,-91.71579999999993 38.004,-91.70978999999993 38.004,-91.70978999999993 37.997989999999994,-91.71579999999993 37.997989999999994))",POINT (-91.71279499999993 38.000994999999996),0
22,A22,-91.70678499999993,38.000994999999996,"POLYGON ((-91.70978999999993 37.997989999999994,-91.70978999999993 38.004,-91.70377999999992 38.004,-91.70377999999992 37.997989999999994,-91.70978999999993 37.997989999999994))",POINT (-91.70678499999993 38.000994999999996),0
23,A23,-91.70077499999992,38.000994999999996,"POLYGON ((-91.70377999999992 37.997989999999994,-91.70377999999992 38.004,-91.69776999999992 38.004,-91.69776999999992 37.997989999999994,-91.70377999999992 37.997989999999994))",POINT (-91.70077499999992 38.000994999999996),0
24,A24,-91.69476499999992,38.000994999999996,"POLYGON ((-91.69776999999992 37.997989999999994,-91.69776999999992 38.004,-91.69175999999992 38.004,-91.69175999999992 37.997989999999994,-91.69776999999992 37.997989999999994))",POINT (-91.69476499999992 38.000994999999996),1
25,A25,-91.68875499999992,38.000994999999996,"POLYGON ((-91.69175999999992 37.997989999999994,-91.69175999999992 38.004,-91.68574999999991 38.004,-91.68574999999991 37.997989999999994,-91.69175999999992 37.997989999999994))",POINT (-91.68875499999992 38.000994999999996),0
26,A26,-91.68274499999991,38.000994999999996,"POLYGON ((-91.68574999999991 37.997989999999994,-91.68574999999991 38.004,-91.67973999999991 38.004,-91.67973999999991 37.997989999999994,-91.68574999999991 37.997989999999994))",POINT (-91.68274499999991 38.000994999999996),0
27,A27,-91.67673499999991,38.000994999999996,"POLYGON ((-91.67973999999991 37.997989999999994,-91.67973999999991 38.004,-91.6737299999999 38.004,-91.6737299999999 37.997989999999994,-91.67973999999991 37.997989999999994))",POINT (-91.67673499999991 38.000994999999996),0
28,A28,-91.6707249999999,38.000994999999996,"POLYGON ((-91.6737299999999 37.997989999999994,-91.6737299999999 38.004,-91.6677199999999 38.004,-91.6677199999999 37.997989999999994,-91.6737299999999 37.997989999999994))",POINT (-91.6707249999999 38.000994999999996),0
29,A29,-91.6647149999999,38.000994999999996,"POLYGON ((-91.6677199999999 37.997989999999994,-91.6677199999999 38.004,-91.6617099999999 38.004,-91.6617099999999 37.997989999999994,-91.6677199999999 37.997989999999994))",POINT (-91.6647149999999 38.000994999999996),0
30,A30,-91.6587049999999,38.000994999999996,"POLYGON ((-91.6617099999999 37.997989999999994,-91.6617099999999 38.004,-91.6556999999999 38.004,-91.6556999999999 37.997989999999994,-91.6617099999999 37.997989999999994))",POINT (-91.6587049999999 38.000994999999996),0
31,B1,-91.832995,37.99498499999999,"POLYGON ((-91.836 37.99197999999999,-91.836 37.997989999999994,-91.82999 37.997989999999994,-91.82999 37.99197999999999,-91.836 37.99197999999999))",POINT (-91.832995 37.99498499999999),0
32,B2,-91.826985,37.99498499999999,"POLYGON ((-91.82999 37.99197999999999,-91.82999 37.997989999999994,-91.82397999999999 37.997989999999994,-91.82397999999999 37.99197999999999,-91.82999 37.99197999999999))",POINT (-91.826985 37.99498499999999),0
33,B3,-91.82097499999999,37.99498499999999,"POLYGON ((-91.82397999999999 37.99197999999999,-91.82397999999999 37.997989999999994,-91.81796999999999 37.997989999999994,-91.81796999999999 37.99197999999999,-91.82397999999999 37.99197999999999))",POINT (-91.82097499999999 37.99498499999999),0
34,B4,-91.81496499999999,37.99498499999999,"POLYGON ((-91.81796999999999 37.99197999999999,-91.81796999999999 37.997989999999994,-91.81195999999998 37.997989999999994,-91.81195999999998 37.99197999999999,-91.81796999999999 37.99197999999999))",POINT (-91.81496499999999 37.99498499999999),0
35,B5,-91.80895499999998,37.99498499999999,"POLYGON ((-91.81195999999998 37.99197999999999,-91.81195999999998 37.997989999999994,-91.80594999999998 37.997989999999994,-91.80594999999998 37.99197999999999,-91.81195999999998 37.99197999999999))",POINT (-91.80895499999998 37.99498499999999),0
36,B6,-91.80294499999998,37.99498499999999,"POLYGON ((-91.80594999999998 37.99197999999999,-91.80594999999998 37.997989999999994,-91.79993999999998 37.997989999999994,-91.79993999999998 37.99197999999999,-91.80594999999998 37.99197999999999))",POINT (-91.80294499999998 37.99498499999999),0
37,B7,-91.79693499999998,37.99498499999999,"POLYGON ((-91.79993999999998 37.99197999999999,-91.79993999999998 37.997989999999994,-91.79392999999997 37.997989999999994,-91.79392999999997 37.99197999999999,-91.79993999999998 37.99197999999999))",POINT (-91.79693499999998 37.99498499999999),0
38,B8,-91.79092499999997,37.99498499999999,"POLYGON ((-91.79392999999997 37.99197999999999,-91.79392999999997 37.997989999999994,-91.78791999999997 37.997989999999994,-91.78791999999997 37.99197999999999,-91.79392999999997 37.99197999999999))",POINT (-91.79092499999997 37.99498499999999),0
39,B9,-91.78491499999997,37.99498499999999,"POLYGON ((-91.78791999999997 37.99197999999999,-91.78791999999997 37.997989999999994,-91.78190999999997 37.997989999999994,-91.78190999999997 37.99197999999999,-91.78791999999997 37.99197999999999))",POINT (-91.78491499999997 37.99498499999999),0
40,B10,-91.77890499999997,37.99498499999999,"POLYGON ((-91.78190999999997 37.99197999999999,-91.78190999999997 37.997989999999994,-91.77589999999996 37.997989999999994,-91.77589999999996 37.99197999999999,-91.78190999999997 37.99197999999999))",POINT (-91.77890499999997 37.99498499999999),0
41,B11,-91.77289499999996,37.99498499999999,"POLYGON ((-91.77589999999996 37.99197999999999,-91.77589999999996 37.997989999999994,-91.76988999999996 37.997989999999994,-91.76988999999996 37.99197999999999,-91.77589999999996 37.99197999999999))",POINT (-91.77289499999996 37.99498499999999),0
42,B12,-91.76688499999996,37.99498499999999,"POLYGON ((-91.76988999999996 37.99197999999999,-91.76988999999996 37.997989999999994,-91.76387999999996 37.997989999999994,-91.76387999999996 37.99197999999999,-91.76988999999996 37.99197999999999))",POINT (-91.76688499999996 37.99498499999999),0
43,B13,-91.76087499999996,37.99498499999999,"POLYGON ((-91.76387999999996 37.99197999999999,-91.76387999999996 37.997989999999994,-91.75786999999995 37.997989999999994,-91.75786999999995 37.99197999999999,-91.76387999999996 37.99197999999999))",POINT (-91.76087499999996 37.99498499999999),0
